  98 RST=0 LOAD=0 EN=1 UP=0 DIN= 2 | CNT= 0 exp= 0              
  99 RST=0 LOAD=0 EN=1 UP=1 DIN=54 | CNT=63 exp=63              
 100 RST=0 LOAD=1 EN=1 UP=0 DIN=46 | CNT= 0 exp= 0              
 101 RST=0 LOAD=0 EN=0 UP=1 DIN=32 | CNT=46 exp=46              
 102 RST=0 LOAD=0 EN=1 UP=0 DIN=43 | CNT=46 exp=46              
 103 RST=0 LOAD=0 EN=1 UP=1 DIN= 6 | CNT=45 exp=45              
 104 RST=0 LOAD=0 EN=0 UP=0 DIN=48 | CNT=46 exp=46              
 105 RST=0 LOAD=0 EN=0 UP=1 DIN=58 | CNT=46 exp=46              
 106 RST=0 LOAD=0 EN=1 UP=0 DIN= 7 | CNT=46 exp=46              
 107 RST=0 LOAD=0 EN=0 UP=0 DIN= 4 | CNT=45 exp=45              
 108 RST=0 LOAD=0 EN=0 UP=0 DIN= 5 | CNT=45 exp=45              
 109 RST=0 LOAD=1 EN=0 UP=0 DIN=59 | CNT=45 exp=45              
 110 RST=0 LOAD=0 EN=1 UP=1 DIN= 1 | CNT=59 exp=59              
 111 RST=0 LOAD=0 EN=0 UP=0 DIN=30 | CNT=60 exp=60              
 112 RST=0 LOAD=0 EN=1 UP=1 DIN=15 | CNT=60 exp=60              
 113 RST=0 LOAD=0 EN=1 UP=0 DIN=42 | CNT=61 exp=61              
 114 RST=0 LOAD=0 EN=0 UP=0 DIN=53 | CNT=60 exp=60              
 115 RST=0 LOAD=0 EN=1 UP=1 DIN=51 | CNT=60 exp=60              
 116 RST=0 LOAD=1 EN=0 UP=0 DIN=35 | CNT=61 exp=61              
 117 RST=1 LOAD=1 EN=0 UP=1 DIN=61 | CNT=35 exp=35              
 118 RST=0 LOAD=0 EN=0 UP=0 DIN=45 | CNT= 0 exp= 0              
 119 RST=0 LOAD=0 EN=0 UP=0 DIN=19 | CNT= 0 exp= 0              
 120 RST=0 LOAD=1 EN=0 UP=0 DIN= 2 | CNT= 0 exp= 0              
 121 RST=0 LOAD=0 EN=1 UP=0 DIN=29 | CNT= 2 exp= 2              
 122 RST=0 LOAD=0 EN=0 UP=1 DIN=35 | CNT= 1 exp= 1              
 123 RST=0 LOAD=0 EN=0 UP=0 DIN=60 | CNT= 1 exp= 1              
 124 RST=0 LOAD=1 EN=1 UP=1 DIN=31 | CNT= 1 exp= 1              
 125 RST=0 LOAD=0 EN=1 UP=1 DIN=31 | CNT=31 exp=31              
 126 RST=0 LOAD=0 EN=1 UP=0 DIN= 5 | CNT=32 exp=32              
 127 RST=0 LOAD=0 EN=0 UP=0 DIN=30 | CNT=31 exp=31              
 128 RST=0 LOAD=0 EN=0 UP=1 DIN=30 | CNT=31 exp=31              
 129 RST=0 LOAD=0 EN=0 UP=0 DIN=12 | CNT=31 exp=31              
 130 RST=0 LOAD=0 EN=1 UP=0 DIN=43 | CNT=31 exp=31              
 131 RST=0 LOAD=0 EN=1 UP=0 DIN=23 | CNT=30 exp=30              
 132 RST=0 LOAD=0 EN=1 UP=1 DIN=18 | CNT=29 exp=29              
 133 RST=0 LOAD=0 EN=1 UP=1 DIN=25 | CNT=30 exp=30              
 134 RST=0 LOAD=0 EN=1 UP=1 DIN=33 | CNT=31 exp=31              
 135 RST=0 LOAD=0 EN=0 UP=1 DIN=54 | CNT=32 exp=32              
 136 RST=0 LOAD=0 EN=0 UP=1 DIN=62 | CNT=32 exp=32              
 137 RST=0 LOAD=0 EN=0 UP=0 DIN=47 | CNT=32 exp=32              
 138 RST=0 LOAD=0 EN=1 UP=0 DIN=35 | CNT=32 exp=32              
 139 RST=0 LOAD=0 EN=0 UP=1 DIN=59 | CNT=31 exp=31              
 140 RST=0 LOAD=1 EN=0 UP=0 DIN=21 | CNT=31 exp=31              
 141 RST=0 LOAD=0 EN=1 UP=0 DIN=35 | CNT=21 exp=21              
 142 RST=0 LOAD=0 EN=0 UP=0 DIN=27 | CNT=20 exp=20              
 143 RST=0 LOAD=0 EN=0 UP=1 DIN=20 | CNT=20 exp=20              
 144 RST=0 LOAD=0 EN=1 UP=0 DIN=57 | CNT=20 exp=20              
 145 RST=0 LOAD=0 EN=1 UP=1 DIN=61 | CNT=19 exp=19              
 146 RST=0 LOAD=0 EN=1 UP=0 DIN=36 | CNT=20 exp=20              
 147 RST=1 LOAD=0 EN=1 UP=1 DIN=33 | CNT=19 exp=19              
